FIPS,INTPTLAT,INTPTLONG,2 classes,3 classes,4 classes,5 classes,6 classes,7 classes,8 classes,9 classes,10 classes,11 classes,12 classes,13 classes,14 classes,15 classes,16 classes,17 classes,18 classes,19 classes,20 classes,21 classes,22 classes,23 classes,24 classes,25 classes,26 classes,27 classes,28 classes,29 classes,30 classes,31 classes,32 classes,33 classes,34 classes,35 classes,36 classes,37 classes,38 classes,39 classes
06007000102,39.7578665,-121.8235198,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000103,39.7680605,-121.8185603,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000104,39.7670771,-121.8375293,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000201,39.7754009,-121.8638042,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000202,39.7638564,-121.849496,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000300,39.7638851,-121.8641991,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000401,39.7660786,-121.894685,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000402,39.7558816,-121.8785043,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000501,39.7376442,-121.8867963,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000502,39.7297355,-121.8617233,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000601,39.744651,-121.864319,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000603,39.7368942,-121.8495875,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000604,39.7358332,-121.8573274,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000700,39.7420778,-121.8390356,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000800,39.7502541,-121.8161641,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000901,39.7203605,-121.7616429,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000903,39.726274,-121.7982097,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007000904,39.7464744,-121.7959706,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001000,39.7293637,-121.8344873,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001100,39.711661,-121.8514478,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001200,39.6982253,-121.8142432,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001300,39.7192136,-121.8128247,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001400,39.7860101,-121.9334044,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001500,39.5969309,-121.8415821,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001600,39.9107695,-121.6693104,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001702,39.8274126,-121.6191977,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001703,39.8262662,-121.6019972,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001704,39.960108,-121.5013525,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001800,39.7817973,-121.6098642,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007001900,39.7841664,-121.5758491,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002000,39.7589033,-121.5862872,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002100,39.7551658,-121.638031,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002200,39.674685,-121.6824752,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002300,39.6722796,-121.5902502,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002400,39.6655389,-121.3519555,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002500,39.5808681,-121.5372499,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002601,39.4867836,-121.4581641,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002602,39.5302628,-121.4669098,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002700,39.5228652,-121.5269455,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002800,39.5071861,-121.5606959,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002900,39.5191072,-121.5980004,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003001,39.4956403,-121.5403556,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003002,39.477074,-121.5601305,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003100,39.4895646,-121.509062,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003200,39.429744,-121.5309393,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003300,39.3923244,-121.5065211,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003400,39.3453317,-121.6578142,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003501,39.3792483,-121.7370059,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003502,39.3257871,-121.7897864,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003600,39.4540994,-121.7723641,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003700,39.5164559,-121.6460664,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
